"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected"
"pavlovia","0","1736","0.0-0.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","","","","","","","",""
"preload","1","32904","0.0-1.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","true","false","[]","[]","[]","","","","","","","",""
"html-keyboard-response","2","48772","0.0-2.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","15867","Welcome! Please press any key to begin."," ","","","","",""
"html-keyboard-response","3","58330","0.0-3.0-0.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","9556","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","4","73076","0.0-3.0-1.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","13731","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","5","79232","0.0-3.0-2.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","5151","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","6","83313","0.0-3.0-3.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","3072","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","7","89946","0.0-3.0-4.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","5622","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","8","99341","0.0-3.0-5.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","8375","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","3","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true",""
"html-keyboard-response","9","102634","0.0-4.0","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","3291","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    "," ","","","","",""
