"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected"
"pavlovia","0","1431","0.0-0.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","","","","","","","",""
"preload","1","18627","0.0-1.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","true","false","[]","[]","[]","","","","","","","",""
"html-keyboard-response","2","22772","0.0-2.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","4142","Welcome! Please press any key to begin."," ","","","","",""
"html-keyboard-response","3","35852","0.0-3.0-0.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","13079","
  <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
  <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","4","55959","0.0-3.0-1.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","19103","
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","5","62769","0.0-3.0-2.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","5807","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","6","67793","0.0-3.0-3.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","4007","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, its future could be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","7","76991","0.0-3.0-4.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","8196","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","8","92037","0.0-3.0-5.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","14035","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","0","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true",""
"html-keyboard-response","9","93967","0.0-4.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","1930","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    "," ","","","","",""
"html-button-response","10","121984","0.0-5.0-1.0","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","27005","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Drogek is at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Drogek is at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Drogek is at risk of dying out"",""The best way to keep minority languages alive is by recording them for future generations""]"
"html-keyboard-response","11","135704","0.0-5.1-0.1-0.1","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","10697","
  <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
  <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","12","140923","0.0-5.1-0.1-1.1","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","4206","
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","13","147153","0.0-5.1-0.1-2.1","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","5228","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","14","151201","0.0-5.1-0.1-3.1","610713aeac4904cc5d90e76d","6a42e2df51d202e3a70b4753","6a42e4d4637409ff4df27db5","NonImmersiveDrogek","4ug7cugoua","0","","","","","","3038","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, its future could be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
