"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected"
"pavlovia","0","984","0.0-0.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","","","","","","","",""
"preload","1","3878","0.0-1.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","true","false","[]","[]","[]","","","","","","","",""
"html-keyboard-response","2","4504","0.0-2.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","624","Welcome! Please press any key to begin."," ","","","","",""
"html-keyboard-response","3","5542","0.0-3.0-0.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","1037","
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;"">Press any key to continue.</p>
      "," ","","","","",""
"html-keyboard-response","4","11559","0.0-3.0-1.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","5016","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. And you think the only way to do that is for people like you to learn and use the language. </p>
      <p style=""font-size:20px;"">Press any key to continue.</p>
      "," ","","","","",""
"html-keyboard-response","5","15055","0.0-3.0-2.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","2492","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;"">Press any key to continue.</p>
      "," ","","","","",""
"html-keyboard-response","6","18703","0.0-3.0-3.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","2646","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want its future to be like Drogek’s…</p> 
      <p style=""font-size:20px;"">Press any key to continue.</p>
      "," ","","","","",""
"html-keyboard-response","7","22655","0.0-3.0-4.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","2950","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;"">Press any key to continue.</p>
      "," ","","","","",""
"html-button-response","8","27026","0.0-3.0-5.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","3366","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","0","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true",""
"html-keyboard-response","9","28727","0.0-4.0","","","","ImmersiveDrogek","3tdyh3y0ko","0","1","","","","","","1700","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;"">Press any key to continue.</p>

    "," ","","","","",""
