"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","foil","key_press"
"pavlovia","0","1197","0.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","","","","","","","","","","",""
"preload","1","3800","0.0-1.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","true","false","[]","[]","[]","","","","","","","","","","",""
"html-keyboard-response","2","4889","0.0-2.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1088","Welcome! Please press any key to begin.","enter","","","","","","","",""
"html-keyboard-response","3","19435","0.0-3.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","14546","
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","4","34739","0.0-3.0-1.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","14302","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. Recording its existence is not enough; you think the only way to keep it alive is for people like you to learn and use the language.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","5","38974","0.0-3.0-2.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","3232","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","6","42616","0.0-3.0-3.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","2640","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want its future to be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-keyboard-response","7","46906","0.0-3.0-4.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","3289","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","enter","","","","","","","",""
"html-button-response","8","54356","0.0-3.0-5.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","6446","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","3","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true","","","",""
"html-keyboard-response","9","55505","0.0-4.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1148","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    ","enter","","","","","","","",""
"html-button-response","10","70751","0.0-5.0-1.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","14243","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Members of your family speak Taneg"">
          <label for=""opt0"" style=""font-size:20px;"">Members of your family speak Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""You grew up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">You grew up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Drogek is at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Drogek is at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","true","[""Members of your family speak Taneg"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Drogek is at risk of dying out""]","","",""
"html-keyboard-response","11","73838","0.0-6.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","3086","<p style=""font-size:20px;"">That's right! Tany people all speak English, but 20% speak Taneg.</p><p style=""font-size:20px;"">Drogek, by contrast, is now barely spoken at all.</p><p style=""font-size:20px;""><i>Press any key to continue.</i></p>","enter","","","","","","","",""
"html-keyboard-response","12","79276","0.0-7.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","4436","
       <p style=""font-size:24px;"">The following screens will introduce you to the language.</p>
       <p style=""font-size:20px;"">First you'll see pairs of words and images. Try to learn the words!</p>
       <p style=""font-size:20px;"">Later you’ll be asked to choose the correct word or image.</p>
       <p style=""font-size:20px;"">After that you'll move on to some full sentences.</p>
       <p style=""font-size:20px;"">Finally you'll be asked to produce sentences yourself.</p>
      <p></p>
       <p style=""font-size:20px;""><i>Press any key to begin.</i></p>
    ","enter","","","","","","","",""
"image-keyboard-response","13","86283","0.0-8.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Woman.png","null","exposure","","","","","false","",""
"image-keyboard-response","14","92786","0.0-8.0-0.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Sandwich.png","null","exposure","","","","","false","",""
"image-keyboard-response","15","99290","0.0-8.0-0.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Umbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","16","105795","0.0-8.0-0.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Man.png","null","exposure","","","","","false","",""
"image-keyboard-response","17","112299","0.0-9.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Woman.png","null","exposure","","","","","false","",""
"image-keyboard-response","18","118804","0.0-9.0-0.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Sandwich.png","null","exposure","","","","","false","",""
"image-keyboard-response","19","125309","0.0-9.0-0.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Umbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","20","131813","0.0-9.0-0.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/Man.png","null","exposure","","","","","false","",""
"html-keyboard-response","21","156326","0.0-10.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","24011","
      <p style=""font-size:24px;"">In the next section you'll have to make a choice!</p>
      <p style=""font-size:20px;"">You'll either see an image with two words</p>
      <p style=""font-size:20px;"">or a word with two images.</p>
      <p style=""font-size:20px;"">In each case click the matching word or image.</p>
      <p style=""font-size:20px;"">Press any key when you're ready.</p>

    ","enter","","","","","","","",""
"image-button-response","22","158659","0.0-11.0-0.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1329","img/Umbrella.png","0","word_selection","pilg","pilg","true","","","kiv",""
"html-keyboard-response","23","160162","0.0-11.0-0.0-1.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","<p style='font-size:32px'>Correct!</p>","null","","","","","","","",""
"image-button-response","24","161559","0.0-11.0-0.1-0.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1395","img/Woman.png","1","word_selection","kers","kers","true","","","kiv",""
"html-keyboard-response","25","162988","0.0-11.0-0.1-1.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","928","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","26","164704","0.0-11.0-0.2-0.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1714","img/Sandwich.png","1","word_selection","teban","teban","true","","","pilg",""
"html-keyboard-response","27","165506","0.0-11.0-0.2-1.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","301","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","28","166788","0.0-11.0-0.3-0.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1281","img/Man.png","1","word_selection","kiv","kiv","true","","","kers",""
"html-keyboard-response","29","167839","0.0-11.0-0.3-1.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","550","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","30","170121","0.0-12.0-0.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","2280","img/Sandwich.png","1","image_selection","img/Sandwich.png","img/Sandwich.png","true","","","img/Umbrella.png",""
"html-keyboard-response","31","171346","0.0-12.0-0.0-1.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","723","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","32","173134","0.0-12.0-0.1-0.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1786","img/Man.png","1","image_selection","img/Man.png","img/Man.png","true","","","img/Woman.png",""
"html-keyboard-response","33","174124","0.0-12.0-0.1-1.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","488","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","34","175116","0.0-12.0-0.2-0.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","991","img/Umbrella.png","1","image_selection","img/Umbrella.png","img/Umbrella.png","true","","","img/Sandwich.png",""
"html-keyboard-response","35","175917","0.0-12.0-0.2-1.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","300","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"image-button-response","36","177042","0.0-12.0-0.3-0.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1124","img/Woman.png","0","image_selection","img/Woman.png","img/Woman.png","true","","","img/Man.png",""
"html-keyboard-response","37","177950","0.0-12.0-0.3-1.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","407","<p style='font-size:32px'>Correct!</p>","enter","","","","","","","",""
"html-keyboard-response","38","179584","0.0-13.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","1634","
      <p style=""font-size:24px;"">Now it's time to learn some adjectives...</p>
       <p style=""font-size:24px;"">Look at the image in each case and try to learn the word that goes with it.</p>
      <p style=""font-size:22px;"">Press any key when you're ready.</p>
    ","enter","","","","","","","",""
"image-keyboard-response","39","186589","0.0-14.0-0.0","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/BadUmbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","40","193092","0.0-14.0-0.1","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/GoodUmbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","41","199595","0.0-14.0-0.2","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/BadSandwich.png","null","exposure","","","","","false","",""
"image-keyboard-response","42","206100","0.0-14.0-0.3","","","","ImmersiveDrogek","rjmxkas5n8","0","0","","","","","","null","img/BigUmbrella.png","null","exposure","","","","","false","",""
