"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","foil","question_order"
"pavlovia","0","3229","0.0-0.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","","","","","","","","","","",""
"preload","1","3746","0.0-1.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","true","false","[]","[]","[]","","","","","","","","","","",""
"html-keyboard-response","2","42384","0.0-2.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","38633","Welcome! Please press any key to begin.","t","","","","","","","",""
"html-keyboard-response","3","42446","0.0-3.0-0.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","58","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","y","","","","","","","",""
"html-keyboard-response","4","165761","0.0-3.0-1.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","122310","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. Recording it for future generations is not enough; you think the only way to keep it alive is for people like you to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","r","","","","","","","",""
"html-keyboard-response","5","167136","0.0-3.0-2.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","359","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","r","","","","","","","",""
"html-keyboard-response","6","168192","0.0-3.0-3.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","51","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want it to die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","d","","","","","","","",""
"html-keyboard-response","7","169825","0.0-3.0-4.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","623","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      ","r","","","","","","","",""
"html-button-response","8","171847","0.0-3.0-5.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","1018","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","2","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true","","","",""
"html-keyboard-response","9","172530","0.0-4.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","681","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    ","r","","","","","","","",""
"html-button-response","10","197590","0.0-5.0-1.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","24049","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Members of your family speak Taneg"">
          <label for=""opt0"" style=""font-size:20px;"">Members of your family speak Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""You grew up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">You grew up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","true","[""Members of your family speak Taneg"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Minority languages are often at risk of dying out""]","","",""
"html-keyboard-response","11","198902","0.0-6.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","1310","<p style=""font-size:20px;"">That's right! Tany people all speak English, but 20% speak Taneg.</p><p style=""font-size:20px;"">This is better than for some other minority languages, which are barely spoken at all.</p><p style=""font-size:20px;""><i>Press any key to continue.</i></p>","g","","","","","","","",""
"html-keyboard-response","12","200625","0.0-7.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","720","
       <p style=""font-size:24px;"">The following screens will introduce you to the language.</p>
       <p style=""font-size:20px;"">First you'll see pairs of words and images. Try to learn the words!</p>
       <p style=""font-size:20px;"">Later you’ll be asked to choose the correct word or image.</p>
       <p style=""font-size:20px;"">After that you'll move on to some more complex phrases</p>
       <p style=""font-size:20px;"">Finally you'll be asked to produce some Taneg yourself.</p>
      <p></p>
       <p style=""font-size:20px;""><i>Press any key to begin.</i></p>
    ","r","","","","","","","",""
"image-keyboard-response","13","207663","0.0-8.0-0.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Woman.png","null","exposure","","","","","false","",""
"image-keyboard-response","14","214184","0.0-8.0-0.1","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Umbrella.png","null","exposure","","","","","false","",""
"image-keyboard-response","15","220697","0.0-8.0-0.2","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Sandwich.png","null","exposure","","","","","false","",""
"image-keyboard-response","16","227224","0.0-8.0-0.3","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Man.png","null","exposure","","","","","false","",""
"image-keyboard-response","17","233745","0.0-9.0-0.0","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Sandwich.png","null","exposure","","","","","false","",""
"image-keyboard-response","18","240274","0.0-9.0-0.1","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Woman.png","null","exposure","","","","","false","",""
"image-keyboard-response","19","246787","0.0-9.0-0.2","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Man.png","null","exposure","","","","","false","",""
"image-keyboard-response","20","253308","0.0-9.0-0.3","6a1da0a3e64785cfbc9670a5","6a42e2df51d202e3a70b4753","6a42e3ed78d669d9cfd8ef9f","ImmersiveNoDrogek","n4vrkmy31g","0","0","","","","","","null","img/Umbrella.png","null","exposure","","","","","false","",""
